TAMANHO_VETOR,CONFIG_DESC,ALGORITMO,TEMPO_US,CMP,MOV,CALLS
50000,Ordenado,InsertionSort,422,49999,99998,1
50000,Ordenado,Quicksort_MP50,2082,547963,98975,3070
50000,Shuffle_25perc,InsertionSort,1783729,295027415,295077414,1
50000,Shuffle_25perc,Quicksort_MP50,5691,826348,441326,4920
50000,Shuffle_50perc,InsertionSort,2708915,445800113,445850112,1
50000,Shuffle_50perc,Quicksort_MP50,8194,971341,629664,5206
50000,Shuffle_75perc,InsertionSort,3215217,524257041,524307040,1
50000,Shuffle_75perc,Quicksort_MP50,8831,1046758,733257,5220
50000,Inverso,InsertionSort,5623684,1250024999,1250074998,1
50000,Inverso,Quicksort_MP50,2390,547972,173974,3070
100000,Ordenado,InsertionSort,981,99999,199998,1
100000,Ordenado,Quicksort_MP50,4543,1195916,197951,6142
100000,Shuffle_25perc,InsertionSort,7215156,1177055325,1177155324,1
100000,Shuffle_25perc,Quicksort_MP50,13230,2098322,898642,9920
100000,Shuffle_50perc,InsertionSort,11207339,1767398165,1767498164,1
100000,Shuffle_50perc,Quicksort_MP50,16752,2114882,1312171,10163
100000,Shuffle_75perc,InsertionSort,11201067,2085360827,2085460826,1
100000,Shuffle_75perc,Quicksort_MP50,19578,2196404,1527414,10257
100000,Inverso,InsertionSort,28876994,705082703,705182702,1
100000,Inverso,Quicksort_MP50,5327,1195926,347950,6142
